genus	count	evidence
Vitrella	3	Not found
Weissella	3	Bartlett;MGNIFY/gut;WIS
Actinoplanes	2	WIS
Afonbuvirus	2	Not found
Anncaliia	2	Not found
Aureimonas	2	Bartlett
Aurodevirus	2	Not found
Azotobacter	2	Not found
Blastococcus	2	MGNIFY/gut;WIS
Caenibius	2	Not found
Candidatus Minimicrobia	2	Not found
Carjivirus	2	Not found
Catenibacterium	2	UNITN;MGNIFY/gut;WIS
Cloacibacterium	2	MGNIFY/oral;WIS
Conchiformibius	2	WIS
Cystoisospora	2	Not found
Dechloromonas	2	Not found
Edwardsiella	2	Bartlett;MGNIFY/gut
Frigoribacterium	2	Not found
Hafnia	2	Bartlett;MGNIFY/gut
Halopseudomonas	2	Not found
Inhella	2	Not found
Kosakonia	2	Bartlett;MGNIFY/gut
Lachnospira	2	MGNIFY/gut;WIS
Leclercia	2	Bartlett;MGNIFY/gut
Leuconostoc	2	Bartlett;MGNIFY/gut;WIS
Liquorilactobacillus	2	Not found
Mailhella	2	MGNIFY/gut
Meiothermus	2	Not found
Melampsora	2	Not found
Mixta	2	MGNIFY/gut
Parafannyhessea	2	Not found
Phikmvvirus	2	Not found
Phycomyces	2	Not found
Ramlibacter	2	Not found
Raoultibacter	2	MGNIFY/gut
Rathayibacter	2	Not found
Sashavirus	2	Not found
Scardovia	2	Bartlett;MGNIFY/gut;MGNIFY/oral;WIS
Sodaliphilus	2	MGNIFY/gut;MGNIFY/vaginal
Sodalis	2	Bartlett
Sulfurimonas	2	Not found
Tardibacter	2	Not found
Telluria	2	Not found
Tepidimonas	2	Bartlett;WIS
Tessaracoccus	2	WIS
Yersinia	2	Bartlett;MGNIFY/gut
Actinomadura	1	Bartlett
Actinomycetospora	1	Not found
Acutalibacter	1	MGNIFY/gut
Aedoeadaptatus	1	Not found
Afipia	1	Bartlett;MGNIFY/gut
Agromyces	1	WIS
Aliarcobacter	1	MGNIFY/gut
Alphatrevirus	1	Not found
Arcanobacterium	1	Bartlett
Azoarcus	1	Not found
Azonexus	1	MGNIFY/gut;MGNIFY/oral
Bartonella	1	Bartlett
Brooklawnia	1	Not found
Bulleidia	1	Bartlett;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Caballeronia	1	Not found
Chitinophaga	1	Bartlett
Chromobacterium	1	Bartlett
Cohcovirus	1	Not found
Cronobacter	1	Bartlett;MGNIFY/gut
Cryptococcus	1	Not found
Deinococcus	1	WIS
Dolosigranulum	1	Bartlett
Draconibacterium	1	Not found
Dyella	1	Bartlett
Eleftheria	1	Not found
Emergencia	1	MGNIFY/gut
Empedobacter	1	Bartlett
Exiguobacterium	1	Bartlett;MGNIFY/gut;WIS
Ferribacterium	1	Not found
Friedmanniella	1	WIS
Fructilactobacillus	1	MGNIFY/gut
Gequatrovirus	1	Not found
Globisporangium	1	Not found
Gluconobacter	1	Not found
Goslarvirus	1	Not found
Gulosibacter	1	MGNIFY/vaginal
Harrisonburgvirus	1	Not found
Histoplasma	1	Not found
Intestinibacter	1	UNITN;MGNIFY/gut
Kehishuvirus	1	Not found
Kerstersia	1	Bartlett
Kitasatospora	1	Not found
Kluyvera	1	Bartlett;MGNIFY/gut
Kluyveromyces	1	Not found
Kytococcus	1	Bartlett
Leptothrix	1	Not found
Mammaliicoccus	1	Not found
Massilistercora	1	MGNIFY/gut
Megamonas	1	Bartlett;UNITN;MGNIFY/gut;WIS
Melaminivora	1	Not found
Methanosarcina	1	Not found
Methyloversatilis	1	Not found
Microlunatus	1	Not found
Microvirga	1	MGNIFY/gut
Modestobacter	1	WIS
Ndongobacter	1	Not found
Ornithobacterium	1	Not found
Oxalobacter	1	UNITN;MGNIFY/gut
Pandoraea	1	Bartlett
Paracidovorax	1	Not found
Parasphingopyxis	1	Not found
Pectobacterium	1	Not found
Pelagerythrobacter	1	Not found
Photobacterium	1	Bartlett
Plesiomonas	1	Bartlett;MGNIFY/gut
Polaromonas	1	Not found
Prochlorococcus	1	Not found
Pseudoleptotrichia	1	MGNIFY/oral
Quatrionicoccus	1	Not found
Rhodobacter	1	WIS
Serinicoccus	1	Not found
Shouchella	1	Not found
Skermanella	1	UNITN;WIS
Skunavirus	1	Not found
Spirosoma	1	Not found
Tequatrovirus	1	Not found
Thermus	1	Not found
Thiomonas	1	Not found
Turicibacter	1	Bartlett;MGNIFY/gut;WIS
Turicimonas	1	MGNIFY/gut
Webervirus	1	Not found
Wohlfahrtiimonas	1	Bartlett
Xanthobacter	1	WIS
Xylophilus	1	Not found
